species,genus,coral_id,treatment,timepoint,timepoint_label,dark_r2,light_r2,surface_area_cm2,resp_rate_umol_cm2_hr,photo_rate_umol_cm2_hr,gross_photo_rate,p_to_r_ratio,treatment_label,days_post_wound
Porites spp.,Porites,49,0,Day 23,Day 23,0.9937558982387142,0.9835875121372748,10.2260523748143,-0.431953730870397,0.11483855265791268,-0.31711517821248436,0.2658584576327429,Control,23
Porites spp.,Porites,50,1,Day 23,Day 23,0.9889840810110836,0.9866234011702568,16.31855349552,-0.3414855973403523,0.15592963345062755,-0.18555596388972473,0.4566214056026949,Small Wound,23
Porites spp.,Porites,51,1,Day 23,Day 23,0.9382782258516762,0.8509830220989715,17.6269610645688,-0.21096496837031709,0.11945978137003586,-0.09150518700028122,0.5662541145710139,Small Wound,23
Porites spp.,Porites,52,2,Day 23,Day 23,0.9737194559376752,0.14139774851323994,13.533024158292699,-0.36079571210107514,NA,NA,NA,Large Wound,23
Porites spp.,Porites,53,0,Day 23,Day 23,0.9948293853617596,0.250954153433513,12.3368869207366,-0.5847346332266772,NA,NA,NA,Control,23
Porites spp.,Porites,54,0,Day 23,Day 23,0.9653385443431982,0.7999320017676671,25.3316726700983,-0.1244433109321078,NA,NA,NA,Control,23
Porites spp.,Porites,55,1,Day 23,Day 23,0.9973090931257184,0.8725038881186831,19.9227204556181,-0.34318790096426743,0.03556394702537719,-0.30762395393889025,0.10362820753718847,Small Wound,23
Porites spp.,Porites,56,0,Day 23,Day 23,0.9933792522762482,0.279285076404293,14.6225880063761,-0.33632241521709816,NA,NA,NA,Control,23
Porites spp.,Porites,57,1,Day 23,Day 23,0.998613488758246,0.9464628789851948,11.5479688155277,-0.5778901351271856,0.078272814146198,-0.49961732098098754,0.13544583890322204,Small Wound,23
Porites spp.,Porites,58,2,Day 23,Day 23,0.9718566248563184,0.8707564216965302,15.7538826599423,-0.4499296645355197,0.2456071499809884,-0.2043225145545313,0.5458789880736992,Large Wound,23
Acropora pulchra,Acropora,41,0,Pre-wound,Pre-wound,0.8870348641079201,0.9055531818281234,18.3888614264487,0.1540400443262958,-0.02562674061786278,0.12841330370843304,0.7053841830897469,Control,-1
Acropora pulchra,Acropora,42,1,Pre-wound,Pre-wound,0.9991949156938654,0.9951323538032886,14.6469039753722,0.4080620098014263,-0.1945529046010705,0.21350910520035585,0.4427306296953786,Small Wound,-1
Acropora pulchra,Acropora,44,2,Pre-wound,Pre-wound,0.9854589554851876,0.8096218232747061,19.9288727962057,3.450946530004872,0.45670418787088063,3.907650717875753,0.9581352987094062,Large Wound,-1
Acropora pulchra,Acropora,45,2,Pre-wound,Pre-wound,0.9967436469393872,0.9018546111159806,18.2888957761311,0.29788270052256677,0.02193372134144115,0.31981642186400794,0.9084579096022072,Large Wound,-1
Acropora pulchra,Acropora,46,2,Pre-wound,Pre-wound,0.9966201516469698,0.9845128731836996,16.719164888712,0.2857860171683472,-0.06939373738694772,0.2163922797813995,0.6406932068589326,Large Wound,-1
Acropora pulchra,Acropora,49,1,Pre-wound,Pre-wound,0.884899821144654,0.8922397991505058,13.2419813222605,0.18549730259115133,-0.0275512836440976,0.1579460189470537,0.7204774923940757,Small Wound,-1
Acropora pulchra,Acropora,50,2,Pre-wound,Pre-wound,0.9981953328299824,0.995433979817699,19.3344824429662,0.4019832556133924,-0.11098955026698876,0.2909937053464037,0.6125266153429683,Large Wound,-1
Acropora pulchra,Acropora,51,0,Pre-wound,Pre-wound,0.9049818543035876,0.9694126504258652,17.6269610645688,0.18674593787807517,-0.03885510104009095,0.1478908368379842,0.6700997184906536,Control,-1
Acropora pulchra,Acropora,54,1,Pre-wound,Pre-wound,0.9947236248422248,0.9629391579175413,28.3476016175445,4.543857052185347,0.9665498825827054,5.510406934768052,1.0261440815978866,Small Wound,-1
Acropora pulchra,Acropora,56,0,Pre-wound,Pre-wound,0.9962547286370425,0.100951076469801,14.6225880063761,0.28312914726529076,0.00357871463810625,0.28670786190339703,0.8568491178507702,Control,-1
Acropora pulchra,Acropora,57,0,Pre-wound,Pre-wound,0.9950600398335644,0.942038122466504,11.5479688155277,0.25022638318516144,0.0471397742624795,0.29736615744764094,1.0055595043074284,Control,-1
Acropora pulchra,Acropora,58,1,Pre-wound,Pre-wound,0.997617318278519,0.9573213111653124,18.7698116073885,0.2968038256157086,-0.034308667072052,0.2624951585436566,0.748343750413988,Small Wound,-1
Acropora pulchra,Acropora,41,0,Day 1,Day 1,0.992478963566504,0.9988285851411982,18.3888614264487,0.32605450749258336,-0.22847962154985585,0.09757488594272754,0.25321951738495685,Control,1
Acropora pulchra,Acropora,42,1,Day 1,Day 1,0.9766956853055644,0.998314860335102,11.630975027926,0.4447855508734675,-0.22167200061962508,0.22311355025384247,0.424448115064859,Small Wound,1
Acropora pulchra,Acropora,43,1,Day 1,Day 1,0.9977629294198742,0.5829877849391524,10.5448617460974,0.3651266601970128,-0.0140747931343197,0.3510518670626931,0.8135365611328116,Small Wound,1
Acropora pulchra,Acropora,44,2,Day 1,Day 1,0.9800736766679368,0.997507803845574,16.9129438487595,0.382688304435391,-0.2021497534475759,0.18053855098781504,0.3991848915340262,Large Wound,1
Acropora pulchra,Acropora,45,2,Day 1,Day 1,0.9993321387531132,0.9990913251050328,15.2729668286849,11.323667994487044,-6.714604526404381,4.609063468082663,0.34440931883414844,Large Wound,1
Acropora pulchra,Acropora,46,2,Day 1,Day 1,0.9989856410269056,0.996164390525806,13.7032359412658,0.3550069407016609,-0.1223381369916704,0.2326688037099905,0.5545626875635382,Large Wound,1
Acropora pulchra,Acropora,47,1,Day 1,Day 1,0.998820093281944,0.998457335579397,11.6417821252577,13.5040116936695,-8.410721036407969,5.09329065726153,0.31914275379675716,Small Wound,1
Acropora pulchra,Acropora,48,0,Day 1,Day 1,0.99674633000531,0.9972009585911308,30.2739667169072,5.82162828687031,-6.975689770024582,-1.1540614831542717,-0.16773890646219355,Control,1
Acropora pulchra,Acropora,49,1,Day 1,Day 1,0.9992799798476542,0.9956703696834928,10.2260523748143,10.756400768734805,-16.563690502755822,-5.807289734021017,-0.4568312997833392,Small Wound,1
Acropora pulchra,Acropora,50,2,Day 1,Day 1,0.9967153223006032,0.7856341943426417,16.31855349552,0.3880277776457358,0.01692876343510086,0.40495654108083673,0.8830696009437444,Large Wound,1
Acropora pulchra,Acropora,51,0,Day 1,Day 1,0.9988011049578084,0.9975491793660336,17.6269610645688,0.3783270281090328,-0.17554186739841898,0.2027851607106138,0.45354265206968153,Control,1
Acropora pulchra,Acropora,52,2,Day 1,Day 1,0.9970421122927152,0.7659562318800123,13.533024158292699,0.4526109637560198,0.02314791983830162,0.4757588835943214,0.8894287620752335,Large Wound,1
Acropora pulchra,Acropora,53,0,Day 1,Day 1,0.999117438502438,0.9984285692670808,12.3368869207366,0.3948641945818098,-0.21786066235446355,0.17700353222734627,0.3793005839276085,Control,1
Acropora pulchra,Acropora,54,1,Day 1,Day 1,0.9901558306996872,0.9993873454402428,25.3316726700983,0.3436505715823305,-0.2243845425296591,0.1192660290526714,0.2936628585651482,Small Wound,1
Acropora pulchra,Acropora,55,2,Day 1,Day 1,0.9724831374560706,0.9973872480581624,19.9227204556181,0.3325825016076909,-0.1456848308564223,0.18689767075126856,0.4755036184372848,Large Wound,1
Acropora pulchra,Acropora,56,0,Day 1,Day 1,0.9871852975450036,0.993905034913614,14.6225880063761,0.398066814854554,-0.20016634822967244,0.19790046662488153,0.4206686785771604,Control,1
Acropora pulchra,Acropora,57,0,Day 1,Day 1,0.9980491286004656,0.9912782566741208,11.5479688155277,0.36816160964591127,-0.11819070171393682,0.2499709079319745,0.5745135821647399,Control,1
Acropora pulchra,Acropora,58,1,Day 1,Day 1,0.98764574576829,0.9953032163589686,15.7538826599423,0.3742871596295843,-0.19975147322765224,0.17453568640193207,0.3945741619516225,Small Wound,1
Acropora pulchra,Acropora,41,0,Day 7,Day 7,0.9729176922148878,0.8110213983404574,18.3888614264487,2.834689515546438,-0.7585784856434884,2.0761110299029495,0.619718428900375,Control,7
Acropora pulchra,Acropora,42,1,Day 7,Day 7,0.9974236940575272,0.8820656927959655,11.630975027926,0.3542828811190075,-0.04886935887163378,0.3054135222473737,0.7294363919045812,Small Wound,7
Acropora pulchra,Acropora,43,1,Day 7,Day 7,0.9667907194789186,0.42620876377728584,10.5448617460974,0.20275454029937692,0.01184100691173745,0.21459554721111437,0.895569822367779,Small Wound,7
Acropora pulchra,Acropora,44,2,Day 7,Day 7,0.9975382794521892,0.7673531531442166,16.9129438487595,0.2483763614690608,-0.01991212993343919,0.2284642315356216,0.7783183837586315,Large Wound,7
Acropora pulchra,Acropora,45,2,Day 7,Day 7,0.970460360292131,0.45411175008596727,15.2729668286849,0.2002961673012067,0.00908580970571391,0.2093819770069206,0.8845369711606794,Large Wound,7
Acropora pulchra,Acropora,46,2,Day 7,Day 7,0.9557755280043606,0.0605452318455553,13.7032359412658,0.2197569065149983,0.00298709602171954,0.22274400253671783,0.8576553858673948,Large Wound,7
Acropora pulchra,Acropora,47,1,Day 7,Day 7,0.9211997964876766,0.9888748619865556,11.6417821252577,0.1387291555950893,0.11202073663698904,0.25074989223207833,1.5294044343072897,Small Wound,7
Acropora pulchra,Acropora,48,0,Day 7,Day 7,0.9967231108088226,0.7459785285844522,30.2739667169072,0.230945875639748,0.01632880996979829,0.2472746856095463,0.90598035451121,Control,7
Acropora pulchra,Acropora,49,1,Day 7,Day 7,0.9968809845518348,0.955396846723063,10.2260523748143,0.29331403512785476,-0.0671565755648805,0.22615745956297423,0.6524202094938232,Small Wound,7
Acropora pulchra,Acropora,50,2,Day 7,Day 7,0.9366356720821908,0.9781514691477528,16.31855349552,0.2618308680762117,0.09227327624302988,0.3541041443192416,1.144351641409713,Large Wound,7
Acropora pulchra,Acropora,51,0,Day 7,Day 7,0.9878698994481362,0.9902746408079206,17.6269610645688,10.88291362688646,-6.8419295520900745,4.040984074796387,0.314189226742365,Control,7
Acropora pulchra,Acropora,52,2,Day 7,Day 7,0.985893575273741,0.9861520814076158,13.533024158292699,14.348206111061216,-9.148538025852268,5.1996680852089465,0.30663897040279864,Large Wound,7
Acropora pulchra,Acropora,53,0,Day 7,Day 7,0.968685288158278,0.9351700430838132,12.3368869207366,0.1836989777968163,0.03947764465750062,0.2231766224543169,1.0279956901568448,Control,7
Acropora pulchra,Acropora,54,1,Day 7,Day 7,0.9982099669701636,0.9520925068718448,25.3316726700983,0.2620958180635236,-0.04778416029116179,0.21431165777236183,0.69188678720444,Small Wound,7
Acropora pulchra,Acropora,55,2,Day 7,Day 7,0.9985252383907378,0.9914213565756091,19.9227204556181,0.26838124245631473,-0.10065273629777732,0.1677285061585374,0.5288153497492916,Large Wound,7
Acropora pulchra,Acropora,56,0,Day 7,Day 7,0.9614573721058388,0.2384906641326824,14.6225880063761,3.9763593963074633,0.4218960805494657,4.398255476856929,0.9359316945962356,Control,7
Acropora pulchra,Acropora,57,0,Day 7,Day 7,0.927016926530257,0.9868884036165144,11.5479688155277,0.1698920339115302,0.11858460513348262,0.28847663904501286,1.4367690587575348,Control,7
