"channel","delta_t","value","temp","coral_id"
"4","20.253",46.795,28.572,"57"
"4","20.303",46.787,28.572,"57"
"4","20.353",46.811,28.566,"57"
"4","20.403",46.795,28.572,"57"
"4","20.453",46.807,28.566,"57"
"4","20.503",46.823,28.566,"57"
"4","20.553",46.815,28.566,"57"
"4","20.603",46.851,28.56,"57"
"4","20.652",46.819,28.56,"57"
"4","20.703",46.791,28.572,"57"
"4","20.753",46.795,28.572,"57"
"4","20.803",46.839,28.56,"57"
"4","20.852",46.803,28.566,"57"
"4","20.903",46.827,28.56,"57"
"4","20.953",46.815,28.566,"57"
"4","21.003",46.863,28.554,"57"
"4","21.053",46.831,28.56,"57"
"4","21.103",46.835,28.56,"57"
"4","21.153",46.847,28.56,"57"
"4","21.203",46.831,28.56,"57"
"4","21.253",46.847,28.554,"57"
"4","21.303",46.851,28.554,"57"
"4","21.353",46.855,28.554,"57"
"4","21.403",46.863,28.554,"57"
"4","21.452",46.887,28.548,"57"
"4","21.502",46.871,28.554,"57"
"4","21.553",46.883,28.548,"57"
"4","21.603",46.855,28.554,"57"
"4","21.653",46.843,28.554,"57"
"4","21.702",46.851,28.554,"57"
"4","21.753",46.855,28.554,"57"
"4","21.803",46.859,28.554,"57"
"4","21.853",46.863,28.554,"57"
"4","21.903",46.879,28.548,"57"
"4","21.953",46.859,28.554,"57"
"4","22.002",46.855,28.554,"57"
"4","22.053",46.859,28.554,"57"
"4","22.103",46.887,28.548,"57"
"4","22.153",46.875,28.548,"57"
"4","22.203",46.879,28.548,"57"
"4","22.253",46.907,28.542,"57"
"4","22.302",46.903,28.542,"57"
"4","22.353",46.887,28.548,"57"
"4","22.403",46.891,28.542,"57"
"4","22.453",46.915,28.536,"57"
"4","22.502",46.883,28.548,"57"
"4","22.553",46.875,28.548,"57"
"4","22.603",46.923,28.536,"57"
"4","22.652",46.919,28.536,"57"
"4","22.703",46.899,28.542,"57"
"4","22.753",46.883,28.548,"57"
"4","22.803",46.879,28.548,"57"
"4","22.852",46.895,28.542,"57"
"4","22.903",46.903,28.542,"57"
"4","22.953",46.947,28.529,"57"
"4","23.003",46.939,28.529,"57"
"4","23.053",46.899,28.542,"57"
"4","23.103",46.939,28.529,"57"
"4","23.153",46.919,28.536,"57"
"4","23.203",46.943,28.529,"57"
"4","23.253",46.947,28.529,"57"
"4","23.303",46.939,28.536,"57"
"4","23.353",46.943,28.529,"57"
"4","23.403",46.943,28.529,"57"
"4","23.452",46.923,28.536,"57"
"4","23.502",46.915,28.536,"57"
"4","23.553",46.943,28.529,"57"
"4","23.603",46.951,28.529,"57"
"4","23.653",46.939,28.529,"57"
"4","23.703",46.947,28.529,"57"
"4","23.753",46.923,28.536,"57"
"4","23.803",46.943,28.529,"57"
"4","23.852",46.935,28.529,"57"
"4","23.903",46.951,28.529,"57"
"4","23.953",46.947,28.529,"57"
"4","24.003",46.951,28.529,"57"
"4","24.053",46.955,28.529,"57"
"4","24.103",46.967,28.523,"57"
"4","24.152",46.947,28.529,"57"
"4","24.203",46.971,28.523,"57"
"4","24.253",46.947,28.529,"57"
"4","24.303",46.995,28.517,"57"
"4","24.353",46.975,28.523,"57"
"4","24.403",46.995,28.517,"57"
"4","24.453",46.967,28.523,"57"
"4","24.503",46.975,28.523,"57"
"4","24.553",46.983,28.523,"57"
"4","24.603",46.983,28.523,"57"
"4","24.653",46.999,28.517,"57"
"4","24.703",46.975,28.523,"57"
"4","24.752",46.979,28.523,"57"
"4","24.803",46.983,28.523,"57"
"4","24.853",46.991,28.517,"57"
"4","24.903",47.007,28.517,"57"
"4","24.953",46.979,28.523,"57"
"4","25.002",46.971,28.523,"57"
"4","25.053",46.995,28.523,"57"
"4","25.102",46.979,28.523,"57"
"4","25.152",47.019,28.517,"57"
"4","25.203",46.991,28.523,"57"
"4","25.253",46.983,28.523,"57"
"4","25.303",47.015,28.517,"57"
"4","25.353",46.987,28.523,"57"
"4","25.403",46.991,28.523,"57"
"4","25.453",46.995,28.523,"57"
"4","25.503",46.975,28.529,"57"
"4","25.553",47.015,28.517,"57"
"4","25.603",47.007,28.517,"57"
"4","25.652",47.003,28.517,"57"
"4","25.703",47.003,28.523,"57"
"4","25.753",47.019,28.517,"57"
"4","25.802",47.043,28.511,"57"
"4","25.852",47.023,28.517,"57"
"4","25.903",47.019,28.517,"57"
"4","25.953",47.032,28.517,"57"
"4","26.003",47.019,28.517,"57"
"4","26.053",47.023,28.517,"57"
"4","26.103",47.008,28.523,"57"
"4","26.153",47.043,28.511,"57"
"4","26.203",47.023,28.517,"57"
"4","26.253",47.023,28.517,"57"
"4","26.303",47.015,28.517,"57"
"4","26.353",47.036,28.517,"57"
"4","26.403",47.052,28.511,"57"
"4","26.453",47.043,28.511,"57"
"4","26.503",47.06,28.511,"57"
"4","26.553",47.028,28.517,"57"
"4","26.602",47.003,28.523,"57"
"4","26.653",47.06,28.511,"57"
"4","26.703",47.032,28.517,"57"
"4","26.753",47.064,28.511,"57"
"4","26.803",47.032,28.517,"57"
"4","26.852",47.056,28.511,"57"
"4","26.903",47.06,28.511,"57"
"4","26.953",47.052,28.511,"57"
"4","27.003",47.032,28.517,"57"
"4","27.053",47.032,28.517,"57"
"4","27.103",47.06,28.511,"57"
"4","27.153",47.028,28.517,"57"
"4","27.202",47.044,28.517,"57"
"4","27.253",47.036,28.517,"57"
"4","27.303",47.064,28.511,"57"
"4","27.353",47.032,28.517,"57"
"4","27.403",47.036,28.517,"57"
